<Trace>
2526
D2 600:615-1120
X	Y
875.2	6.00000429
875.4	0
875.6	8.000008
875.8	0
876	0
876.2	0
876.4	0
876.6	4.000002
876.8	6.00000429
877	2.00000048
877.2	2.00000048
877.4	8.000008
877.6	16.0000324
877.8	18.00004
878	22.000061
878.2	16.0000324
878.4	0
878.6	2.00000048
878.8	2.00000048
879	6.00000429
879.2	0
879.4	10.0000124
879.6	0
879.8	0
880	4.000002
880.2	6.00000429
880.4	4.000002
880.6	2.00000048
880.8	8.000008
881	0
881.2	6.00000429
881.4	0
881.6	0
881.8	4.000002
882	8.000008
882.2	0
882.4	0
882.6	2.00000048
882.8	6.00000429
883	8.000008
883.2	0
883.4	6.00000429
883.6	10.0000124
883.8	10.0000124
884	0
884.2	4.000002
884.4	4.000002
884.6	2.00000048
884.8	10.0000124
885	0
885.2	2.00000048
885.4	18.00004
885.6	10.0000124
885.8	2.00000048
886	0
886.2	8.000008
886.4	2.00000048
886.6	2.00000048
886.8	10.0000124
887	4.000002
887.2	14.0000248
887.4	6.00000429
887.6	6.00000429
887.8	6.00000429
888	4.000002
888.2	14.0000248
888.4	0
888.6	2.00000048
888.8	6.00000429
889	0
889.2	2.00000048
889.4	16.0000324
889.6	0
889.8	0
890	0
890.2	2.00000048
890.4	2.00000048
890.6	4.000002
890.8	0
891	10.0000124
891.2	4.000002
891.4	0
891.6	4.000002
891.8	2.00000048
892	4.000002
892.2	0
892.4	16.0000324
892.6	0
892.8	0
893	4.000002
893.2	2.00000048
893.4	0
893.6	4.000002
893.8	2.00000048
894	0
894.2	4.000002
894.4	4.000002
894.6	8.000008
894.8	2.00000048
895	4.000002
895.2	10.0000124
895.4	4.000002
895.6	10.0000124
895.8	10.0000124
896	6.00000429
896.2	0
896.4	0
896.6	2.00000048
896.8	0
897	0
897.2	0
897.4	10.0000124
897.6	2.00000048
897.8	14.0000248
898	8.000008
898.2	20.00005
898.4	4.000002
898.6	2.00000048
898.8	0
899	0
899.2	8.000008
899.4	16.0000324
899.6	16.0000324
899.8	4.000002
900	4.000002
900.2	0
900.4	24.0000725
900.6	2.00000048
900.8	4.000002
901	4.000002
901.2	2.00000048
901.4	4.000002
901.6	6.00000429
901.8	0
902	14.0000248
902.2	6.00000429
902.4	2.00000048
902.6	0
902.8	6.00000429
903	6.00000429
903.2	4.000002
903.4	0
903.6	2.00000048
903.8	2.00000048
904	6.00000429
904.2	0
904.4	0
904.6	10.0000124
904.8	2.00000048
905	0
905.2	2.00000048
905.4	6.00000429
905.6	0
905.8	6.00000429
906	0
906.2	0
906.4	4.000002
906.6	14.0000248
906.8	6.00000429
907	0
907.2	16.0000324
907.4	2.00000048
907.6	0
907.8	0
908	0
908.2	10.0000124
908.4	4.000002
908.6	0
908.8	2.00000048
909	0
909.2	0
909.4	4.000002
909.6	4.000002
909.8	4.000002
910	0
910.2	0
910.4	2.00000048
910.6	4.000002
910.8	0
911	8.000008
911.2	0
911.4	2.00000048
911.6	2.00000048
911.8	2.00000048
912	4.000002
912.2	4.000002
912.4	0
912.6	0
912.8	0
913	2.00000048
913.2	0
913.4	0
913.6	0
913.8	0
914	8.000008
914.2	0
914.4	2.00000048
914.6	8.000008
914.8	0
915	8.000008
915.2	0
915.4	8.000008
915.6	8.000008
915.8	4.000002
916	0
916.2	0
916.4	0
916.6	8.000008
916.8	0
917	2.00000048
917.2	4.000002
917.4	6.00000429
917.6	20.00005
917.8	0
918	2.00000048
918.2	14.0000248
918.4	2.00000048
918.6	4.000002
918.8	0
919	0
919.2	18.00004
919.4	0
919.6	0
919.8	6.00000429
920	0
920.2	6.00000429
920.4	4.000002
920.6	0
920.8	0
921	4.000002
921.2	6.00000429
921.4	0
921.6	0
921.8	0
922	8.000008
922.2	8.000008
922.4	6.00000429
922.6	2.00000048
922.8	0
923	6.00000429
923.2	8.000008
923.4	8.000008
923.6	6.00000429
923.8	6.00000429
924	8.000008
924.2	12.0000181
924.4	6.00000429
924.6	0
924.8	2.00000048
925	2.00000048
925.2	0
925.4	2.00000048
925.6	10.0000124
925.8	2.00000048
926	0
926.2	6.00000429
926.4	2.00000048
926.6	0
926.8	0
927	8.000008
927.2	0
927.4	20.00005
927.6	0
927.8	36.00016
928	4.000002
928.2	4.000002
928.4	0
928.6	2.00000048
928.8	22.000061
929	2.00000048
929.2	10.0000124
929.4	0
929.6	2.00000048
929.8	4.000002
930	0
930.2	2.00000048
930.4	2.00000048
930.6	0
930.8	2.00000048
931	4.000002
931.2	2.00000048
931.4	4.000002
931.6	2.00000048
931.8	8.000008
932	4.000002
932.2	0
932.4	6.00000429
932.6	2.00000048
932.8	0
933	8.000008
933.2	18.00004
933.4	0
933.6	6.00000429
933.8	4.000002
934	4.000002
934.2	0
934.4	0
934.6	0
934.8	2.00000048
935	0
935.2	0
