<Trace>
2526
D2 600:615-1120 [COR]
X	Y
844.6	0
844.8	8195.755
845	4196.1167
845.2	30060.5449
845.4	4392.597
845.6	4490.807
845.8	9178.097
846	0
846.2	14435.78
846.4	108604.922
846.6	121468.547
846.8	67415.57
847	0
847.2	5435.07129
847.4	11119.4189
847.6	28421.5645
847.8	11617.8916
848	11867.165
848.2	0
848.4	12497.9111
848.6	32032.9941
848.8	6564.279
849	13443.9346
849.2	34398.2969
849.4	380021.344
849.6	1079286.88
849.8	2125072.75
850	856204.1
850.2	210291.234
850.4	22531.0625
850.6	15020.7041
850.8	0
851	0
851.2	37551.79
851.4	7510.35059
851.6	0
851.8	37551.79
852	15020.7041
852.2	52572.5352
852.4	45062.16
852.6	0
852.8	0
853	0
853.2	7510.35059
853.4	15020.7041
853.6	37551.79
853.8	7510.35059
854	37551.79
854.2	37551.79
854.4	7510.35059
854.6	22531.0625
854.8	45062.16
855	0
855.2	37551.79
855.4	7510.35059
855.6	82614.06
855.8	22531.0625
856	15020.7041
856.2	0
856.4	7510.35059
856.6	15020.7041
856.8	30041.4238
857	22531.0625
857.2	15020.7041
857.4	30041.4238
857.6	0
857.8	15020.7041
858	22531.0625
858.2	30041.4238
858.4	0
858.6	15020.7041
858.8	0
859	30041.4238
859.2	90124.45
859.4	37551.79
859.6	37551.79
859.8	0
860	60082.91
860.2	0
860.4	0
860.6	37551.79
860.8	30041.4238
861	0
861.2	60082.91
861.4	37551.79
861.6	15020.7041
861.8	0
862	22531.0625
862.2	7510.35059
862.4	22531.0625
862.6	0
862.8	0
863	7510.35059
863.2	210291.234
863.4	127676.469
863.6	52572.5352
863.8	37551.79
864	30041.4238
864.2	0
864.4	0
864.6	0
864.8	82614.06
865	75103.67
865.2	52572.5352
865.4	60082.91
865.6	97634.84
865.8	15020.7041
866	0
866.2	15020.7041
866.4	30041.4238
866.6	52572.5352
866.8	15020.7041
867	30041.4238
867.2	0
867.4	0
867.6	52572.5352
867.8	82614.06
868	60082.91
868.2	7510.35059
868.4	67593.29
868.6	22531.0625
868.8	30041.4238
869	30041.4238
869.2	0
869.4	37551.79
869.6	22531.0625
869.8	22531.0625
870	0
870.2	0
870.4	7510.35059
870.6	0
870.8	37551.79
871	7510.35059
871.2	0
871.4	7510.35059
871.6	52572.5352
871.8	0
872	30041.4238
872.2	7510.35059
872.4	22531.0625
872.6	22531.0625
872.8	7510.35059
873	0
873.2	0
873.4	0
873.6	22531.0625
873.8	0
874	45062.16
874.2	0
874.4	15020.7041
874.6	22531.0625
874.8	0
875	7510.35059
875.2	22531.0625
875.4	0
875.6	30041.4238
875.8	0
876	0
876.2	0
876.4	0
876.6	15020.7041
876.8	22531.0625
877	7510.35059
877.2	7510.35059
877.4	30041.4238
877.6	60082.91
877.8	67593.29
878	82614.06
878.2	60082.91
878.4	0
878.6	7510.35059
878.8	7510.35059
879	22531.0625
879.2	0
879.4	37551.79
879.6	0
879.8	0
880	15020.7041
880.2	22531.0625
880.4	15020.7041
880.6	7510.35059
880.8	30041.4238
881	0
881.2	22531.0625
881.4	0
881.6	0
881.8	15020.7041
882	30041.4238
882.2	0
882.4	0
882.6	7510.35059
882.8	22531.0625
883	30041.4238
883.2	0
883.4	22531.0625
883.6	37551.79
883.8	37551.79
884	0
884.2	15020.7041
884.4	15020.7041
884.6	7510.35059
884.8	37551.79
885	0
885.2	7510.35059
885.4	67593.29
885.6	37551.79
885.8	7510.35059
886	0
886.2	30041.4238
886.4	7510.35059
886.6	7510.35059
886.8	37551.79
887	15020.7041
887.2	52572.5352
887.4	22531.0625
887.6	22531.0625
887.8	22531.0625
888	15020.7041
888.2	52572.5352
888.4	0
888.6	7510.35059
888.8	22531.0625
889	0
889.2	7510.35059
889.4	60082.91
889.6	0
889.8	0
890	0
890.2	7510.35059
890.4	7510.35059
890.6	15020.7041
890.8	0
891	37551.79
891.2	15020.7041
891.4	0
891.6	15020.7041
891.8	7510.35059
892	15020.7041
892.2	0
892.4	60082.91
892.6	0
892.8	0
893	15020.7041
893.2	7510.35059
893.4	0
893.6	15020.7041
893.8	7510.35059
894	0
894.2	15020.7041
894.4	15020.7041
894.6	30041.4238
894.8	7510.35059
895	15020.7041
895.2	37551.79
895.4	15020.7041
895.6	37551.79
895.8	37551.79
896	22531.0625
896.2	0
896.4	0
896.6	7510.35059
896.8	0
897	0
897.2	0
897.4	37551.79
897.6	7510.35059
897.8	52572.5352
898	30041.4238
898.2	75103.67
898.4	15020.7041
898.6	7510.35059
898.8	0
899	0
899.2	30041.4238
899.4	60082.91
899.6	60082.91
899.8	15020.7041
900	15020.7041
900.2	0
900.4	90124.45
900.6	7510.35059
900.8	15020.7041
901	15020.7041
901.2	7510.35059
901.4	15020.7041
901.6	22531.0625
901.8	0
902	52572.5352
902.2	22531.0625
902.4	7510.35059
902.6	0
902.8	22531.0625
903	22531.0625
903.2	15020.7041
903.4	0
903.6	7510.35059
903.8	7510.35059
904	22531.0625
904.2	0
904.4	0
904.6	37551.79
904.8	7510.35059
905	0
905.2	7510.35059
905.4	22531.0625
905.6	0
905.8	22531.0625
906	0
906.2	0
906.4	15020.7041
906.6	52572.5352
906.8	22531.0625
907	0
907.2	60082.91
907.4	7510.35059
907.6	0
907.8	0
908	0
908.2	37551.79
908.4	15020.7041
908.6	0
908.8	7510.35059
909	0
909.2	0
909.4	15020.7041
909.6	15020.7041
909.8	15020.7041
910	0
910.2	0
910.4	7510.35059
910.6	15020.7041
910.8	0
911	30041.4238
911.2	0
911.4	7510.35059
911.6	7510.35059
911.8	7510.35059
912	15020.7041
912.2	15020.7041
912.4	0
912.6	0
912.8	0
913	7510.35059
913.2	0
913.4	0
913.6	0
913.8	0
914	30041.4238
914.2	0
914.4	7510.35059
914.6	30041.4238
914.8	0
915	30041.4238
915.2	0
915.4	30041.4238
915.6	30041.4238
915.8	15020.7041
916	0
916.2	0
916.4	0
916.6	30041.4238
916.8	0
917	7510.35059
917.2	15020.7041
917.4	22531.0625
917.6	75103.67
917.8	0
918	7510.35059
918.2	52572.5352
918.4	7510.35059
918.6	15020.7041
918.8	0
919	0
919.2	67593.29
919.4	0
919.6	0
919.8	22531.0625
920	0
920.2	22531.0625
920.4	15020.7041
920.6	0
920.8	0
921	15020.7041
921.2	22531.0625
921.4	0
921.6	0
921.8	0
922	30041.4238
922.2	30041.4238
922.4	22531.0625
922.6	7510.35059
922.8	0
923	22531.0625
923.2	30041.4238
923.4	30041.4238
923.6	22531.0625
923.8	22531.0625
924	30041.4238
924.2	45062.16
924.4	22531.0625
924.6	0
924.8	7510.35059
925	7510.35059
925.2	0
925.4	7510.35059
925.6	37551.79
925.8	7510.35059
926	0
926.2	22531.0625
926.4	7510.35059
926.6	0
926.8	0
927	30041.4238
927.2	0
927.4	75103.67
927.6	0
927.8	135186.875
928	15020.7041
928.2	15020.7041
928.4	0
928.6	7510.35059
928.8	82614.06
929	7510.35059
929.2	37551.79
929.4	0
929.6	7510.35059
929.8	15020.7041
930	0
930.2	7510.35059
930.4	7510.35059
930.6	0
930.8	7510.35059
931	15020.7041
931.2	7510.35059
931.4	15020.7041
931.6	7510.35059
931.8	30041.4238
932	15020.7041
932.2	0
932.4	22531.0625
932.6	7510.35059
932.8	0
933	30041.4238
933.2	67593.29
933.4	0
933.6	22531.0625
933.8	15020.7041
934	15020.7041
934.2	0
934.4	0
934.6	0
934.8	7510.35059
935	0
935.2	0
